File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
890599ec-249a-4ba6-93fa-6935b7a76d39	ecd6cc08-1fc9-4034-b03f-5bb315d3f905.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-E1-A7YQ	TCGA-E1-A7YQ-01A	Primary Tumor
02c69ef2-120a-40df-9f8a-b1429e89b675	e0f3f77b-9fa3-470e-8900-eda1f429bb0f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-QH-A6CU	TCGA-QH-A6CU-01A	Primary Tumor
63085c99-6251-4875-be47-401c6aba4858	81ed5361-8358-421c-b388-9ec3e6140fee.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DB-A4XG	TCGA-DB-A4XG-01A	Primary Tumor
cf6e38ad-bf51-4314-8cb0-e50f95aee9ff	170872ac-4f68-4d39-9ab8-eb82c92f7c04.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-E1-A7YY	TCGA-E1-A7YY-01A	Primary Tumor
337381f8-4597-48fa-9f7e-bca3bf2cd48b	631b1de2-fb01-4d43-80df-9f3c71a1dc72.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-RY-A840	TCGA-RY-A840-01A	Primary Tumor
62fe1bbe-c2b1-4ac9-9896-1819d2a2b89b	985fd292-98ef-4e82-8276-1db0d8fe0329.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-S9-A7QZ	TCGA-S9-A7QZ-01A	Primary Tumor
cf0b5536-779c-45fc-9286-d5eedf81ff5f	b73f94fb-7d43-42d4-b9cb-1e15198f0d25.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-HT-7688	TCGA-HT-7688-01A	Primary Tumor
7d65bae5-77a0-4061-b6c3-ddad0c25b17d	cfda2cad-eeb3-4ede-b5c5-a484998611e5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-HT-8108	TCGA-HT-8108-01A	Primary Tumor
8a01f93c-19f3-4399-b63a-b0bd2d132d6f	8455c2a2-5c79-40e2-83d8-412fed27c355.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DU-7301	TCGA-DU-7301-01A	Primary Tumor
4234539e-d8f7-4408-b6f3-e2f5476e38ff	427c0ab2-f456-46fc-aa8a-f85fe4d9f88a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DB-5279	TCGA-DB-5279-01A	Primary Tumor
